DATE|TIME|RPM|VEL
01/01/2016|01:34:38|None|None
01/01/2016|01:34:39|None|None
01/01/2016|01:34:40|None|None
01/01/2016|01:34:41|None|None
01/01/2016|01:34:42|None|None
01/01/2016|01:34:42|None|None
01/01/2016|01:34:43|None|None
01/01/2016|01:34:44|None|None
01/01/2016|01:34:45|None|None
01/01/2016|01:34:46|None|None
